SampleID,BA.0.2006,BA.0.2007,BA.0.2008,BA.0.2009,BA.0.2010,BA.0.2011
J2FRA3,6.63463508,7.1727685,7.91237893,8.97235367,10.09437015,11.23139441
J2FRA5a,5.60032578,6.28648123,7.02129249,7.72154799,8.61361344,9.73410585
J2OSV3,12.88832142,13.22378069,13.51151798,13.9066029,14.3639326,14.87033593
J2OSV30,1.45259685,1.96598316,2.67861202,4.0842831,5.27002639,6.20078153
J2POB3,11.57879094,13.09724283,15.01473315,16.71406263,18.21240362,19.20813849
J2POB4,8.20096722,9.37640552,10.39414788,11.56535262,12.91255041,14.05479653
J2POB5,3.75045554,4.94945433,5.87370376,7.13433609,8.28137061,9.64218002
J2POD4,13.81942331,15.72281063,17.21569467,17.88656078,18.40902472,18.91745693
J2POD5,21.20423813,21.58508967,21.8290098,22.15150489,22.35675947,22.50553823
J2POD6,8.8456014,10.11952311,11.60602717,12.79160514,13.5420574,14.23691015
J2POG3,0,0.02918952,0.47315566,2.19802531,6.63367434,9.21987936
J2POT4,1.81987181,2.89081914,4.2620835,7.34854356,8.49522978,10.71708506
J2PRS1,2.33556169,3.6625608,6.2132295,11.15893691,16.75418941,20.84510952
J2PRS2,3.64911027,5.6114533,8.90351902,14.5393126,18.3635213,18.89230534
J2PRV1,0.4366223,0.47221329,0.51074648,0.55914263,0.64355439,0.72174538
J2QUR3,7.59568813,11.39962119,16.2101282,20.87164105,26.75682093,32.22810383
J2QUR4,9.50960842,12.97156793,17.58573404,22.0952906,26.21285573,30.83956641
J2QUR7,8.86928901,11.34191151,14.76598734,16.93511903,20.29004645,22.99502055
J2RHT3,0.52443529,1.37500344,2.68953986,3.63092516,5.17131794,7.36925627
J2RHT4,8.63548304,12.24301689,15.47591699,18.26037241,20.62952184,22.76867823
J2RHT5,8.84771314,10.72576999,12.08180744,13.76071696,15.15736322,17.00041233
J2TIA1,23.6099722,25.58337874,26.02251758,26.46165642,26.90079526,27.3399341
J3ACSP1,14.63440883,16.04495923,19.85549617,21.89670119,23.68088005,24.55817852
J3ACSP2,1.63233059,2.0725116,2.55381564,3.04001833,3.59736714,4.02763763
J3BEA1,3.56507546,5.4033791,9.57499885,14.00669671,20.25308202,28.06820898
J3BEA2,2.14655197,2.86729984,3.23599128,3.75844656,4.35730851,4.78459684
J3CAC1,0.60402361,0.8414805,1.19605832,1.60392756,2.30023526,3.03222812
J3FRA5b,2.26424812,2.58210367,2.94489263,3.29694166,3.66906979,3.88097218
J3OSV6,9.00631586,9.46336006,9.9494793,10.41813444,10.95111368,11.36689719
J3POD3,7.29599355,9.40480116,12.36964585,14.74526383,18.73309374,20.41988356
J3QUR5,1.46652589,1.79064537,2.1472831,2.50933496,2.95366513,3.51132394
J3RHT1,18.98243135,21.30839371,23.80440399,25.57278392,27.00138606,28.5935572
J3RHT2,14.173847,19.2521577,24.72183132,29.59194258,33.47622404,36.89806874
J3TIA3,8.14623241,9.76242338,12.08397867,13.65457531,14.78450075,15.81232874
J3ULA2,10.40317241,13.40159503,16.18694678,19.72820225,23.28299994,26.61945185
J4ACP1,3.4368024,5.35073944,7.03976006,9.67139639,12.73965622,17.94409696
J4BEPA6,4.78780664,4.8838129,5.02736702,5.33332015,5.49686039,5.53699352
J4BEPO5,0.65933299,0.70993295,0.73609934,0.76503513,0.77022479,0.7710527
J4FRA6,3.56794271,4.77393808,6.30829036,7.88762907,10.38796023,13.06599832
J4OSV7,2.029515,2.9970146,4.06725704,5.54535439,7.66811068,9.24856014
J4POB6,10.02690219,12.9914085,15.99591508,19.51223319,22.14142542,23.29670252
J4POT6,6.93601396,8.53555487,10.9469603,13.17641961,13.96015194,15.80635913
J4POT7,2.79099818,3.67421631,4.93200614,6.3425781,7.33384247,8.38171933
J4PRS3,1.90259073,2.03888323,2.21221628,2.34094147,2.52668598,2.61370829
J4PRV2,0.18591966,0.1974253,0.19933477,0.202882,0.2082718,0.21786421
J4PRV3,5.32994068,6.29842458,7.18801642,8.60228642,9.96638264,10.86599302
J4QUR9,2.75252486,3.71938534,4.2517133,5.02092048,6.03753515,7.14919478
J4ULA3,2.79487569,3.28379685,3.55908872,4.02449898,5.24772089,8.80400004
J5ACR3,8.47579947,8.74456884,8.80027519,8.85582813,9.06613397,9.20675768
J5ACSA9,4.96923299,5.40558505,5.9101961,7.13221835,7.86816038,8.31192021
J5AMSP1,9.79690786,9.84410243,9.95409921,10.21804189,10.4800676,10.58223062
J5AMSP2,14.37055782,15.34751303,16.07479133,16.33495958,16.61193299,16.74938003
J5BEA4,8.60622702,8.84835014,9.18135213,9.24928172,9.79388284,10.00799304
J5BEA5,22.49643238,23.62454083,24.28593818,24.59476509,25.10898584,25.3532043
J5BEPA7,3.42577759,3.4934795,3.64081352,3.67697797,3.81304938,4.28690856
J5BEPA8,0.87472444,1.03645893,1.25249095,1.52536419,2.21605865,2.58761658
J5CAC7,2.51806957,3.19401445,3.86424025,4.4700907,4.98394648,5.46337532
J5COA2,1.0628921,1.26074921,1.40043031,1.54306058,1.63708295,2.04044185
J5FRA9,5.65797597,5.77474701,5.93123936,6.07705304,6.17435956,6.33161119
J5OSV10,13.91821109,15.6438738,18.04243423,19.2120048,19.81525519,20.45288619
J5POT8,4.22729424,4.80985429,5.58243009,6.96085457,7.80510573,8.14530148
J5PRS4,NA,NA,NA,NA,NA,NA
J5PRS5,3.3001832,3.58108124,3.73020558,3.96889613,4.2009428,4.40340883
J5QUR11,16.28694407,16.75266653,17.02704302,17.34649194,17.61179689,17.92814839
J5SOA1,3.91538412,4.01420342,4.14672326,4.34385188,4.44126722,4.48974407
J5TIA6,7.22091635,7.58865155,8.927886,9.96080141,11.15649255,12.08175776
J5TIA7,3.5903187,4.47186158,5.40417456,6.08857974,6.62084172,6.90417195
J5ULA5,12.80161759,14.21608473,15.52854259,16.21720228,16.76468547,17.27447623
J5ULA6,4.01510424,4.48009177,4.94270719,5.44106451,5.60349997,5.73011892
J6ACR4,2.12969757,2.94234626,4.15847918,5.46785404,6.8402317,9.09597139
J6ACSA12,15.12998548,15.22315487,15.51879912,15.80064698,16.18893694,16.50631277
J6AMSP3,2.85224863,2.95780045,3.04665745,3.08868352,3.11566234,3.14911736
J6CAC10,24.68056839,25.21253428,25.65331072,26.1201349,26.49223142,27.21950593
J6CAC9,1.4939893,1.74713824,1.94671086,2.24807913,2.54770205,2.7851342
J6COA3,5.49783545,6.59365674,7.18907631,7.72683058,9.31387385,9.59779784
J6OSV12,11.92691789,12.25084927,12.54877318,12.81637993,12.98897884,13.17224698
J6PRV4,1.61753969,1.83082438,2.0609321,2.25687913,2.48695033,2.569166
J6QUR13,3.57949336,3.84932554,4.04865724,4.16368607,4.24123392,4.30386668
J6SOA2,9.47978803,11.02401964,12.69056975,14.86520807,16.78188157,18.0007828
J6TIA9,0.54076038,1.5332918,2.00216017,2.22967333,2.37366528,2.63565545
